 id spamicity ev_average evaluated_by "Unnamed: 4" "Unnamed: 5" "Unnamed: 6" "Unnamed: 7" "Unnamed: 8" "Unnamed: 9" "Unnamed: 10" "Unnamed: 11" "Unnamed: 12" "Unnamed: 13" "Unnamed: 14" "Unnamed: 15" "Unnamed: 16" "Unnamed: 17" "Unnamed: 18" "Unnamed: 19" "Unnamed: 20" "Unnamed: 21" "Unnamed: 22" "Unnamed: 23" "Unnamed: 24" "Unnamed: 25" "Unnamed: 26" "Unnamed: 27" "Unnamed: 28" "Unnamed: 29" "Unnamed: 30" "Unnamed: 31" "Unnamed: 32" "Unnamed: 33" "Unnamed: 34" "Unnamed: 35" "Unnamed: 36" "Unnamed: 37" "Unnamed: 38" "Unnamed: 39" "Unnamed: 40" "Unnamed: 41"
1 5 0 0.000000 j24:N,j32:N                                      
2 8 0 0.000000 j10:N,j36:N                                      
3 61 0 0.000000 j58:N,j59:N                                      
4 62 0 0.000000 j6:N,j26:N                                      
5 77 0 0.000000 j34:N,j38:N                                      
6 112 1 1.000000 j31:S                                      
7 132 0 0.000000 j52:N,j58:N                                      
8 165 0 0.000000 j10:N,j22:N                                      
10 224 0 0.000000 j13:N,j48:N                                      
12 349 0 0.000000 j16:N,j39:N                                      
14 379 0 0.000000 j26:N,j35:N                                      
15 380 0 0.000000 j20:N,j38:N                                      
16 409 0 0.000000 j11:N,j37:N                                      
17 419 0 0.000000 j33:N,j56:N                                      
21 539 0 0.000000 j22:N,j37:N                                      
22 559 0 0.000000 j32:N,j39:N                                      
23 574 0 0.250000 j11:N,j37:B                                      
26 620 0 0.000000 j26:N,j19:N                                      
28 728 1 1.000000 j30:S,j59:S                                      
31 787 0 0.000000 j13:N,j26:N                                      
32 788 0 0.000000 j10:N,j46:N                                      
33 809 0 0.000000 j5:N,j25:N,j60:N                                      
37 885 0 0.000000 j20:N,j26:N                                      
38 926 1 0.750000 j12:B,j60:S                                      
39 998 1 1.000000 j44:S,j49:S                                      
42 1069 0 0.000000 j10:N,j35:N                                      
46 1242 0 0.000000 j35:N,j28:N                                      
47 1275 0 0.000000 j16:N,j35:N                                      
48 1281 0 0.000000 j48:N,j49:N                                      
49 1287 0 0.000000 j16:N,j39:N                                      
50 1323 0 0.000000 j9:N,j10:N                                      
51 1340 0 0.000000 j32:N,j36:N                                      
54 1394 0 0.000000 j11:N,j34:N                                      
59 1488 0 0.000000 j35:N,j28:N                                      
66 1714 0 0.333333 j30:N,j58:N,j59:S                                      
67 1730 0 0.000000 j24:U,j17:N                                      
68 1736 0 0.000000 j40:N,j39:N                                      
69 1751 0 0.000000 j28:N,j54:N                                      
70 1752 0 0.000000 j40:N,j59:N                                      
71 1792 0 0.000000 j11:N,j37:N                                      
72 1803 0 0.000000 j13:N,j35:N                                      
75 1899 0 0.000000 j24:N,j34:N                                      
77 1917 1 0.857143 j9:S,j20:B,j13:S,j16:B,j28:S,j39:S,j48:S                                      
78 1978 0 0.000000 j22:N,j1:N                                      
81 2034 0 0.000000 j60:N,j46:N                                      
85 2176 1 1.000000 j5:S                                      
86 2181 0 0.000000 j30:N,j59:N                                      
88 2208 0 0.000000 j13:N,j58:N                                      
90 2241 0 0.000000 j13:N,j58:U                                      
92 2299 1 1.000000 j24:S,j26:S                                      
94 2312 0 0.000000 j32:U,j36:N                                      
95 2368 0 0.000000 j13:N,j35:N                                      
98 2455 0 0.000000 j12:N,j22:N,j40:N,j48:U                                      
99 2470 0 0.000000 j24:N,j50:N                                      
104 2704 0 0.000000 j28:N,j48:N                                      
105 2705 0 0.000000 j8:N,j54:N                                      
106 2717 0 0.000000 j8:N,j33:N                                      
108 2762 0 0.000000 j28:N,j54:N                                      
111 2828 0 0.000000 j12:N,j60:N                                      
113 2931 0 0.250000 j35:B,j39:N                                      
114 2978 0 0.000000 j20:N,j26:N                                      
116 3014 0 0.000000 j17:N,j49:N                                      
117 3046 0 0.000000 j12:N,j60:N                                      
122 3090 0 0.000000 j34:N                                      
123 3098 0 0.000000 j30:N,j46:N                                      
124 3170 0 0.000000 j17:N,j54:U                                      
125 3171 0 0.000000 j33:N,j56:N                                      
131 3313 0 0.000000 j25:N,j60:N                                      
132 3338 0 0.000000 j52:N,j57:N                                      
134 3432 0 0.000000 j26:N,j52:N                                      
136 3583 0 0.250000 j8:N,j37:B                                      
139 3730 1 1.000000 j12:S,j60:S                                      
140 3735 1 1.000000 j25:S,j60:S                                      
143 3779 0 0.312500 j9:N,j10:B,j20:B,j16:B,j36:B,j52:N,j46:B,j39:N                                      
147 3940 0 0.000000 j40:N,j35:N                                      
148 3955 0 0.333333 j5:N,j25:N,j60:S                                      
149 4000 0 0.250000 j7:N,j12:N,j38:B,j59:B                                      
150 4013 0 0.000000 j30:N,j59:N                                      
151 4046 0 0.000000 j15:N,j50:N                                      
152 4063 0 0.000000 j6:N,j38:N                                      
155 4153 0 0.000000 j20:N,j16:N                                      
157 4265 0 0.000000 j24:N,j52:N                                      
159 4294 0 0.000000 j9:N,j25:N                                      
160 4330 0 0.000000 j5:N,j59:N                                      
162 4440 1 1.000000 j17:S,j54:S                                      
165 4491 0 0.000000 j32:N,j44:N                                      
166 4520 0 0.000000 j11:N,j38:N                                      
168 4620 0 0.000000 j16:N                                      
169 4625 0 0.000000 j35:N,j39:N                                      
175 4724 0 0.000000 j11:N,j39:N                                      
176 4738 0 0.000000 j17:N,j49:N                                      
177 4748 0 0.000000 j10:N,j35:N                                      
178 4755 0 0.000000 j33:N,j56:N                                      
180 4856 0 0.000000 j52:N,j58:N                                      
